id,title,title_url,articles_with_corrections,total_articles,percentage_with_corrections
1853,South Sydney Sentinel (NSW : 1932 - 1935),http://nla.gov.au/nla.news-title1853,70,10717,0.6531678641410843
566,"The Grenville Standard (Linton, Vic. : 1897 - 1908; 1910 - 1918)",http://nla.gov.au/nla.news-title566,371,55330,0.6705223206217242
88,Queanbeyan Age (NSW : 1927 - 1971),http://nla.gov.au/nla.news-title88,2332,341382,0.683105729065973
1731,Kimba Dispatch (SA. : 1927 - 1941),http://nla.gov.au/nla.news-title1731,243,35136,0.6915983606557377
1827,"The Essendon Gazette and Keilor, Bulla and Broadmeadows Reporter (Moonee Ponds, Vic. : 1888 - 1900)",http://nla.gov.au/nla.news-title1827,159,22960,0.6925087108013938
1661,The Southern Cross News (WA : 1935 - 1957),http://nla.gov.au/nla.news-title1661,591,85249,0.6932632640852092
1634,Leonora News (WA : 1946 - 1950),http://nla.gov.au/nla.news-title1634,137,19718,0.6947966325185111
1808,"The Spectator (Perth, WA : 1900 - 1905)",http://nla.gov.au/nla.news-title1808,54,7675,0.7035830618892508
1863,The Yarrawonga Mercury and Mulwala (N.S.W.) News (Vic. : 1882 - 1892; 1894 - 1897),http://nla.gov.au/nla.news-title1863,224,31482,0.7115176926497682
1708,"Daylight (Adelaide, SA : 1919 - 1928)",http://nla.gov.au/nla.news-title1708,45,6257,0.7191945021575835
1831,The Corryong Courier and Walwa District News (Vic. : 1946 - 1952),http://nla.gov.au/nla.news-title1831,177,24382,0.7259453695349029
1615,Cue-Big Bell Chronicle and Reedy Recorder (WA : 1937 - 1942),http://nla.gov.au/nla.news-title1615,118,16211,0.72790080809327
704,"Guang yi hua bao = The Chinese Australian Herald (Sydney, NSW : 1894 - 1923)",http://nla.gov.au/nla.news-title704,542,74454,0.7279662610470894
1828,Myrtleford Times and Ovens Valley Advertiser (Vic. : 1930 - 1955),http://nla.gov.au/nla.news-title1828,459,60713,0.7560160097507946
1858,"The Pastoral Times : incorporated with the Southern Courier (South Deniliquin, NSW : 1861)",http://nla.gov.au/nla.news-title1858,1,131,0.7633587786259541
1818,The Mittagong Express (NSW. : 1899 ; 1901 - 1902),http://nla.gov.au/nla.news-title1818,74,9688,0.763831544178365
